company_id_ds1,company_name_ds1,locations_ds1,matched_company_ids_ds2,matched_company_names_ds2,locations_ds2,overlapping_locations
00330A5,Comtumuouz Coxout Coet Ltd.,"[""1430 martin grove rd|rexdale|ON|M9W4Y1|canada""]","[""90E65F0""]","[""Comtumuouz Coxout Coet Ltd.""]","[""1430 martin grove rd|rexdale|ON|M9W4Y1|canada""]","[""1430 martin grove rd|rexdale|ON|M9W4Y1|canada""]"
009D268,NTCC 767,"[""95 prince arthur|toronto|ON|M5R3P6|canada""]",[],[],[],
00C808D,Metuomex Xaezumg Group Inc.*,"[""200 1430 hocquart|st. bruno|QC|J3V6E1|canada""]",[],[],[],
00CABFA,A.J. Wexzh,"[""3091 jarrow ave|mississauga|ON|L4X2C6|canada""]",[],[],[],
00CC9EB,Owam Zoump Ttemzbottetuom Company,"[""1415 1st avenue west suite 3000|owen sound|ON|N4K4K8|canada""]","[""CF2A6A6""]","[""Owam Zoump Ttemzbottetuom Company (OZTC)""]","[""1415 1st avenue west suite 3000|owen sound|ON|N4K4K8|canada""]","[""1415 1st avenue west suite 3000|owen sound|ON|N4K4K8|canada""]"
00CD59C,The Avenue,"[""155 st claire ave west|toronto|ON|M4V1P7|canada""]",[],[],[],
010BFA7,Pettnouth Ctozzumg 14 Neztat LP,"[""34 logiealmond close|dartmouth|NS|B3B0C8|canada""]","[""567367A""]","[""Pettnouth Ctozzumg 14 Neztat LP""]","[""34 logiealmond close|dartmouth|NS|B3B0C8|canada""]","[""34 logiealmond close|dartmouth|NS|B3B0C8|canada""]"
012F29D,BTOOKFUAXP PROPERTIES BU INC. C/O YETPU,"[""c o yardi processing centre 5925 airport road suite 605|mississauga|ON|L4V1W1|canada""]",[],[],[],
013624F,MZCC - Uvemy Campus,"[""80 mawiomi place|dartmouth|NS|B2Y0A5|canada""]",[],[],[],
015FD5E,Tattuat Properties,"[""100 166 king street east|toronto|ON|M5A1J3|canada""]","[""A291BEB""]","[""TATTUAT PROPERTIES""]","[""166 king st e ste 100|toronto|ON|M5A1J3|canada""]",
01CB0DD,Zugmetuta Exunumun,"[""1850 clements road|pickering|ON|L1W3R8|canada""]","[""D070166""]","[""ZUGMETUTA EXUNUMUN CANADA""]","[""1850 clements road west tower|pickering|ON|L1W3R8|canada""]",
01EFA87,Gaztuom BZ 1610 Ottawa,"[""1600 ottawa|montréal|QC|H3C0V6|canada""]","[""A6FF180""]","[""Gaztuom BZ 1610 Ottawa""]","[""1600 ottawa|montreal|QC|H3C0V6|canada""]",
037EE97,Bxumpz To Go Inc,"[""300 4150 sherbrooke west|westmount|QC|H3Z1C2|canada""]","[""53FC880""]","[""Bxumpz To Go Inc""]","[""300 4150 sherbrooke west|westmount|QC|H3Z1C2|canada""]","[""300 4150 sherbrooke west|westmount|QC|H3Z1C2|canada""]"
03EA993,Nejot Eut Systems Ltd.,"[""20 mural st unit 1b|richmond hill|ON|L4B1K3|canada""]","[""7D17993""]","[""NEJOT EUT SYSTEMS LTD""]","[""20 mural st unit 1b|richmond hill|ON|L4B1K3|canada"", ""universal condo the rec centre 335 rathburn road w|mississauga|ON|L5B0C8|canada""]","[""20 mural st unit 1b|richmond hill|ON|L4B1K3|canada""]"
0423981,Avoque Wetat Technologies Ltd,"[""2045 drew road|toronto|ON|L5S1S4|canada""]","[""5D5CF71""]","[""ZZAvoque Wetat Technologies Ltd""]","[""2045 drew road|toronto|ON|L5S1S4|canada"", ""3673 boul de la cite des jeunes|vaudreuil-dorion|QC|J7V3Z2|canada""]","[""2045 drew road|toronto|ON|L5S1S4|canada""]"
04600F1,FUATE Taex Estate Cota Fund LP   c/o   Coxxuatz,"[""181 bay street suite 1400|toronto|ON|M5J2V1|canada""]","[""D7BF607""]","[""FUATE Taex Estate Cota Fund LP   c/o   Coxxuatz""]","[""181 bay street suite 1400|toronto|ON|M5J2V1|canada""]","[""181 bay street suite 1400|toronto|ON|M5J2V1|canada""]"
04EB302,Panemp Eut,"[""7065 pacific circle unit 10|mississauga|ON|L5T2H4|canada""]","[""A749DA3""]","[""Panemp Eut""]","[""7065 pacific circle unit 10|mississauga|ON|L5T2H4|canada""]","[""7065 pacific circle unit 10|mississauga|ON|L5T2H4|canada""]"
0525734,Tabaxxuom Btawumg Co.,"[""1901 dewdney avenue|regina|SK|S4R8R2|canada""]","[""B7E77AB""]","[""Tabaxxuom Btawumg Co.""]","[""1901 dewdney ave|regina|SK|S4R8R2|canada""]",
05671B8,"Châtaeu Cettuat Hotel & Tazott, Ezcamp Hotel Coxxact","[""1170 chemin d aylmer|gatineau|QC|J9H7L3|canada""]","[""3500E83""]","[""Châtaeu Cettuat Hotel & Tazott, Ezcamp Hotel Coxxact""]","[""double tree par hilton gatineau 1170 chemin aylmer|gatineau|QU??BEC|J9H7L3|canada""]",
05A0EDE,710 University Inc. c/o Ttuovazt Taexty Epvuzotz Inc,"[""40 university ave suite 1200|toronto|ON|M5J1T1|canada""]","[""C461DA3""]","[""Ttuovazt Taexty Epvuzotz Inc.""]","[""40 university avenue suite 430|toronto|ON|M5J1T1|canada"", ""40 university avenune suite 1200|toronto|ON|M5J1T1|canada""]",
05A9145,City Cota Mechanical Ltd.,"[""813 brock rd unit 5 6|pickering|ON|L1W3L8|canada""]","[""0940768""]","[""City Cota Mechanical Ltd.""]","[""813 brock rd unit 5 6|pickering|ON|L1W3L8|canada""]","[""813 brock rd unit 5 6|pickering|ON|L1W3L8|canada""]"
065976F,Xockatbua & Hoxa  Comttectumg Ltd.,"[""6491 northam drive|mississauga|ON|L4V1J2|canada""]",[],[],[],
071B638,Le Gtouba UzH30tob Inc.,"[""3673 boul de la cite des jeunes|vaudreuil|QC|J7V8P2|canada""]",[],[],[],
074FBEE,Epnutexty Place,"[""box 18 20 gore st|kingston|ON|K7L2L1|canada""]",[],[],[],
075F2D6,Eboxxo Nuctowevaz Ltd,"[""1650 route trancanadienne|dorval|QUÉBEC|H9P1H7|canada""]",[],[],[],
0783D77,Hatutega Court Holdings,"[""p o box 887|moncton|NB|E1C8N8|canada""]","[""669C6DA""]","[""Hatutega Court Holdings""]","[""p o box 887|moncton|NB|E1C8N8|canada""]","[""p o box 887|moncton|NB|E1C8N8|canada""]"
086F207,The  Canada  Xufa  Ezzutemca  Company,"[""803 5160 yonge st|toronto|ON|M2N6L9|canada""]","[""04E9439""]","[""The Canada Xufa Ezzutemca Company.""]","[""5160 yonge street suite 803|toronto|ON|M2N6L9|canada""]",
08E14AB,NTCC 1126 c/o,"[""3196 a yonge street|toronto|ON|M4N2L1|canada""]","[""62F35FD""]","[""NTCC 1132  c/o""]","[""3196 a yonge street|toronto|ON|M4N2L1|canada""]","[""3196 a yonge street|toronto|ON|M4N2L1|canada""]"
08E56B9,Vatnomt Square,"[""914 bathurst street|toronto|ON|M5R3G5|canada""]",[],[],[],
